ダウンロードした時刻：2025/04/21 18:39:30,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(時間),平年値(時間),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃)
,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2024,1,1,9.9,8,1,5.8,8,2,8,1,3.7,8,3,8,1,1.9,8,10.5,8,1,9.5,8,0.7,8,1,1.9,8
2024,1,2,9.9,8,1,5.7,8,0.5,8,1,3.8,8,4.8,8,1,1.9,8,13.7,8,1,9.4,8,-0.2,8,1,1.8,8
2024,1,3,9.9,8,1,5.6,8,20.5,8,1,3.8,8,0,8,1,1.9,8,10.8,8,1,9.3,8,6.5,8,1,1.8,8
2024,1,4,9.9,8,1,5.5,8,1,8,1,3.8,8,5.6,8,1,1.9,8,11.9,8,1,9.2,8,4,8,1,1.7,8
2024,1,5,9.9,8,1,5.5,8,0,8,1,3.9,8,5.8,8,1,1.8,8,14.5,8,1,9.1,8,1.8,8,1,1.7,8
2024,1,6,9.9,8,1,5.4,8,1,8,1,3.9,8,3.1,8,1,1.8,8,12.9,8,1,9,8,7.4,8,1,1.6,8
2024,1,7,9.9,8,1,5.3,8,2,8,1,3.9,8,0.2,8,1,1.8,8,8.4,8,1,8.9,8,0.9,8,1,1.6,8
2024,1,8,9.9,8,1,5.3,8,3.5,8,1,4,8,1.4,8,1,1.8,8,5.6,8,1,8.9,8,0.7,8,1,1.5,8
2024,1,9,9.9,8,1,5.2,8,0,8,1,4.1,8,1.3,8,1,1.8,8,9.8,8,1,8.8,8,2.8,8,1,1.5,8
2024,1,10,9.9,8,1,5.1,8,9.5,8,1,4.1,8,1.3,8,1,1.8,8,10.2,8,1,8.7,8,3.9,8,1,1.5,8
2024,1,11,9.9,8,1,5.1,8,0,8,1,4.2,8,8.7,8,1,1.7,8,10.7,8,1,8.7,8,-0.4,8,1,1.4,8
2024,1,12,9.9,8,1,5,8,0,8,1,4.2,8,1,8,1,1.7,8,11.5,8,1,8.6,8,8.8,8,1,1.4,8
2024,1,13,9.9,8,1,5,8,3,8,1,4.3,8,0.7,8,1,1.8,8,10.2,8,1,8.6,8,1.8,8,1,1.3,8
2024,1,14,9.9,8,1,4.9,8,1.5,8,1,4.3,8,8.8,8,1,1.8,8,11.6,8,1,8.5,8,-2.6,8,1,1.3,8
